Date,Position,Total Entries,Ranked,Points Got,Expected Get,min Pts to win $,W/L,diff,Money,Model
11/23,12229,29726,41%,267.5,300,278.75,L,-11.25,-1,PTS
11/24,421,1095,38%,235.25,258.48,231,W,4.25,2,PTS
11/25,13313,29726,45%,269.5,275,283.75,L,-14.25,-1,PTS
11/26,23941,35671,67%,246.25,274.94,273,L,-26.75,-1,PTS
11/27,2147,2378,90%,222.25,278.25,285.25,,-63,-1,PTS
11/29,17092,29726,57%,267,272.76,293.75,,-26.75,-1,PTS
11/30,8309,29726,28%,265.5,275.62,272.5,,-7,-1,PTS
12/01,15572,17835,87%,250.5,282.38,300.5,,-50,-1,PTS
12/02,18878,29726,64%,237.5,271.71,260,,-22.5,-1,PTS
12/03,14022,35671,39%,245.75,280.62,255,,-9.25,-1,PTS
12/04,10579,35671,30%,257.25,270.09,259.5,,-2.25,,PTS
12/05,2188,29726,7%,306.75,278.32,284.25,,22.5,,PTS
12/06,19996,29726,67%,246.5,265.84,284,,-37.5,,PTS
12/07,17610,23781,74%,273,283.81,333.5,,-60.5,,PTS
12/08,592,1189,50%,270.25,269.78,274,,-3.75,,PTS
12/10,10281,35671,29%,267.75,263.12,269.25,,-1.5,,PTS
12/11,3800,35671,11%,261.75,263.31,251.75,,10,,PTS
12/12,8463,23781,36%,254.75,264.63,260.75,,-6,,PTS
12/13,21914,23781,92%,190.5,272.95,250,,-59.5,,PTS
12/14,1182,9136,13%,275.75,268.92,266.75,,9,,PTS